post_id,treatment,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28
vnfpad,1,2.0,3.0,5.0,4.0,4.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
vnfpaf,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
vnfpag,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
vnfpai,1,2.0,2.0,2.0,2.0,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,,,,,
vnfpak,0,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpan,1,2.0,59.0,59.0,57.0,58,58,60,,,,,,,,,,,,,,,,,,,,,,,
vnfpap,1,2.0,11.0,13.0,12.0,12,13,13,,,,,,,,,,,,,,,,,,,,,,,
vnfpar,0,1.0,45.0,50.0,50.0,53,55,55,,,,,,,,,,,,,,,,,,,,,,,
vnfpas,1,2.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
vnfpau,1,2.0,3.0,2.0,4.0,4,3,3,,,,,,,,,,,,,,,,,,,,,,,
vnfpay,0,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpb2,0,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpb3,1,2.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpb8,1,2.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpb9,0,1.0,122.0,132.0,137.0,142,149,155,,,,,,,,,,,,,,,,,,,,,,,
vnfpbc,1,2.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpbg,0,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpbi,1,2.0,3.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpbk,1,2.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpbo,1,2.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpbp,0,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpbq,1,2.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpbv,0,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpby,1,2.0,4.0,2.0,4.0,4,5,4,,,,,,,,,,,,,,,,,,,,,,,
vnfpbz,1,2.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpc0,1,2.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpc1,0,1.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpc5,1,2.0,11.0,10.0,11.0,12,11,11,,,,,,,,,,,,,,,,,,,,,,,
vnfpc8,0,1.0,3.0,3.0,3.0,3,4,3,,,,,,,,,,,,,,,,,,,,,,,
vnfpc9,1,2.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpca,1,2.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpcb,1,2.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpcc,1,2.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpck,-1,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpcm,1,2.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpco,0,1.0,191.0,194.0,197.0,194,196,195,,,,,,,,,,,,,,,,,,,,,,,
vnfpcp,1,2.0,20.0,21.0,20.0,22,21,22,,,,,,,,,,,,,,,,,,,,,,,
vnfpcv,0,1.0,3.0,3.0,3.0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
vnfpcw,1,2.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpcx,0,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpd2,1,2.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpd3,1,3.0,141.0,143.0,142.0,147,149,150,,,,,,,,,,,,,,,,,,,,,,,
vnfpd7,1,2.0,2.0,1.0,1.0,2,3,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpda,0,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpdd,0,1.0,4.0,4.0,4.0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,
vnfpdg,1,2.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpdh,1,2.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpdi,1,2.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpdj,1,2.0,3.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpdk,0,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpdm,0,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpdo,0,1.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
vnfpdt,1,2.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpdu,0,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpdv,0,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpdw,1,2.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpdz,0,1.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpe2,1,2.0,2.0,2.0,2.0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
vnfpe3,0,1.0,1.0,1.0,1.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vnfpe7,1,2.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
vnfpeh,1,2.0,77.0,77.0,76.0,79,75,76,,,,,,,,,,,,,,,,,,,,,,,
